agencykey|employeeskey|commercialkey|customerskey|productcategorykey|productkey|orderdatekey|requireddatekey|shippeddatekey|statuskey|ordernumber|orderlinenumber|quantityordered|priceeach|amount|numberofitems
8F14E45FCEEA167A5A36DEDD4BEA2543|5CBDFD0DFA22A3FCA7266376887F549B|5CBDFD0DFA22A3FCA7266376887F549B|B823D59742D022CA49154CD6401B2C1A|BDD4286459900F7788990A266EAF5E28|F538A00BE0DE5109AD437AAEF67BF59F|2022-01-31|2022-02-08|2022-02-06|747CF5C8587184B9E489FF897D97C20D|10373|9|25|44.20|1105.00|1
1679091C5A880FAF6FB5E6087EB1B2DC|7A6A74CBE87BC60030A4BD041DD47B78|7A6A74CBE87BC60030A4BD041DD47B78|1F247542A7446249DE292661B84EC2EB|D39B79B3341F1B50B921D2C8F9CB9198|C2C033FDE15D3AA59787DFC5E42D203A|2020-11-21|2020-11-28|2020-11-27|747CF5C8587184B9E489FF897D97C20D|10193|10|26|32.19|836.94|1
8F14E45FCEEA167A5A36DEDD4BEA2543|5CBDFD0DFA22A3FCA7266376887F549B|5CBDFD0DFA22A3FCA7266376887F549B|A3351FCAB79EEC929438B49274DBB35E|9029FF9E9C7721FA20D4E54A8E7CE473|A6027DFDCB80DFB5474AA4B223E1AB21|2022-01-06|2022-01-12|2022-01-10|747CF5C8587184B9E489FF897D97C20D|10363|1|31|113.75|3526.25|1
ECCBC87E4B5CE2FE28308FD9F2A7BAF3|C0A271BC0ECB776A094786474322CB82|C0A271BC0ECB776A094786474322CB82|D43D2CAD1F5A4FDFACBFA690917E5211|ADD43E19C8A3933DB4E494C5ADA4387C|9901D163E383EB8FEFEB1DA8A5B5F722|2021-12-01|2021-12-07|2021-12-03|747CF5C8587184B9E489FF897D97C20D|10349|1|33|44.37|1464.21|1
ECCBC87E4B5CE2FE28308FD9F2A7BAF3|4671AEAF49C792689533B00664A5C3EF|4671AEAF49C792689533B00664A5C3EF|4205B58A4A9C7917A59B29AF98032660|F9ECED7271ACE37EAE7270210B2BAC2A|6B66D741BC3AF27AAABF67FD285BEDCF|2021-04-03|2021-04-11|2021-04-08|747CF5C8587184B9E489FF897D97C20D|10236|1|22|105.86|2328.92|1
8F14E45FCEEA167A5A36DEDD4BEA2543|5CBDFD0DFA22A3FCA7266376887F549B|5CBDFD0DFA22A3FCA7266376887F549B|A3351FCAB79EEC929438B49274DBB35E|9029FF9E9C7721FA20D4E54A8E7CE473|FBA241707189AEC14DB392306F6991F7|2020-08-01|2020-08-09|2020-08-04|747CF5C8587184B9E489FF897D97C20D|10141|2|20|50.86|1017.20|1
A87FF679A2F3E71D9181A67B7542122C|D1EE59E20AD01CEDC15F5118A7626099|D1EE59E20AD01CEDC15F5118A7626099|CD8F7B1F0F39C689E498428DC1BD2A99|D39B79B3341F1B50B921D2C8F9CB9198|E80A4301F7D24C8D1263F207E543A05A|2022-02-22|2022-03-02|2022-02-25|747CF5C8587184B9E489FF897D97C20D|10383|7|28|77.24|2162.72|1
A87FF679A2F3E71D9181A67B7542122C|D1EE59E20AD01CEDC15F5118A7626099|D1EE59E20AD01CEDC15F5118A7626099|6F4D69D9E2F053B895796FF3D140BD77|D39B79B3341F1B50B921D2C8F9CB9198|A549191C1FEEFB897B95B8AE83E68E4B|2021-10-29|2021-11-08|2021-10-30|747CF5C8587184B9E489FF897D97C20D|10315|1|24|78.77|1890.48|1
C81E728D9D4C2F636F067F89CC14862C|C44E503833B64E9F27197A484F4257C0|C44E503833B64E9F27197A484F4257C0|75536B8F7357546215402210AF2A3DC2|9029FF9E9C7721FA20D4E54A8E7CE473|A6027DFDCB80DFB5474AA4B223E1AB21|2020-09-05|2020-09-12|2020-09-09|747CF5C8587184B9E489FF897D97C20D|10147|2|23|123.58|2842.34|1
A87FF679A2F3E71D9181A67B7542122C|9701A1C165DD9420816BFEC5EDD6C2B1|9701A1C165DD9420816BFEC5EDD6C2B1|6F9C08CBF8465AB59DF7DAC2FB8E19F0|D39B79B3341F1B50B921D2C8F9CB9198|AF5DC2E464E6473717AA5C7FE351E159|2020-11-05|2020-11-15|2020-11-09|747CF5C8587184B9E489FF897D97C20D|10173|4|29|90.28|2618.12|1
